KUT8	52.22748	19.35997	105.354
7	54.54480	17.75140	21.282
RYM_N	53.94521	15.53817	57.031
49	53.95390	16.58581	117.327	
57	53.99528	17.40543	172.846	
59	53.79454	17.97564	130.777	
54	53.45042	17.53314	113.736	
34	53.12744	14.38884	18.901	
61	53.31295	17.93809	67.290	
105	52.78498	14.49396	49.432	
119	52.96897	15.75819	62.013	
128	52.99251	17.48949	142.022	
2501	51.86839	19.03338	139.719	
106	52.59148	14.64170	15.266	
125	52.41556	16.87537	88.000	
109	52.31125	15.07286	106.000	
108	52.05401	15.09060	81.086	
115	52.11211	16.12077	68.155	
123	52.08395	16.64437	68.247	
BPD8	52.02408	23.12484	141.735	
SID8	51.57467	18.70000	154.210	
LOD9	51.77144	19.41715	197.259	
RWM8	51.75577	20.26012	148.956	
WLD8	51.53609	23.55961	155.577	
2507	51.15200	19.70364	236.440	
OPL8	51.15553	21.97048	145.849	
CHE8	51.12505	23.47658	205.834	
KLC8	50.88009	20.62831	265.261	
1901	50.88184	23.48242	306.654	
BUZ8	50.46399	20.71418	230.692	
BIL8	50.53313	22.72950	200.967	
309	50.60292	23.58378	287.670	
MLC8	50.07352	21.97241	222.353	
HOZ8	50.18718	23.37036	255.438	
KRO6	49.68655	21.77600	278.763	
PRZ8	49.78174	22.76082	201.578	
PL05	49.57583	22.20083	284.673	
USD8	49.43735	22.57753	513.343	
805	49.25367	22.09700	585.113	
16	54.38534	19.82810	4.373	
27	54.36840	22.86831	261.458	
23	54.21320	21.74361	122.000	
66	53.73160	18.92366	45.480	
67	53.92339	19.34977	14.000	
EXC1	53.89085	20.67083	155.395	
64	53.58926	18.62948	76.916	
68	53.51697	19.08605	93.466	
79	53.58370	20.28291	169.496	
78	53.35968	20.43029	188.706	
87	53.59857	21.34562	134.264	
91	53.40606	21.93707	117.901	
97	53.40448	22.79028	183.641	
102	53.65201	23.35479	152.452	
69	53.27510	18.94711	103.340	
71	53.25792	19.40054	72.177	
83	53.25738	20.89563	125.653	
137	52.80042	18.25999	101.175	
148	52.38941	20.19891	91.651	
160	52.59404	21.46070	97.057	
163	52.40871	22.25225	167.813	
BAR8	54.25569	20.80340	46.161	
135	52.20412	18.25406	85.550	
150	52.10279	19.93368	86.251	
161	52.18006	21.57223	149.375	
5802	54.27727	22.27059	200.769	
GIZ8	54.03249	21.76694	107.007	
173	52.07402	23.60715	133.720	
SWK8	54.10029	22.92618	169.054	
5605	54.01641	20.33805	147.738	
4501	53.84234	19.76633	135.834	
OLS8	53.77231	20.49576	142.497	
PL03	53.73417	22.35944	126.217	
ILA8	53.58687	19.55446	124.624	
MYS8	53.38263	21.34600	126.419	
SOK8	53.40720	23.50682	164.303	
3706	52.98188	21.21223	111.160	
LOM8	53.16388	22.09166	144.673	
BIA8	53.12018	23.14757	148.076	
SIP8	52.86027	19.65208	117.526	
CCH8	52.88419	20.61792	112.690	
OSM8	52.79733	21.89203	118.745	
BRS8	52.75041	22.83465	132.788	
HAJ8	52.73237	23.55887	164.667	
BOG8	52.47469	21.03420	108.223	
SOC8	52.22057	20.24144	87.776	
JOZ8	52.09855	21.03278	107.609	
RYK8	51.62414	21.93820	141.510	
177	51.96528	15.53203	94.000	
187	51.84854	16.57217	94.346	
195	51.97088	17.49885	120.264	
179	51.56478	15.52960	123.710	
180	51.26255	15.56631	193.061	
242	50.92088	16.10485	332.916	
243	50.78001	16.03541	442.441	
246	50.89288	16.70493	203.312	
253	50.95002	17.28267	129.182	
301	54.82750	18.32649	41.477	
251	50.45584	17.35129	193.453	
RED8	54.47167	17.11841	56.262	
5403	54.46071	18.43221	171.979	
4001	53.93241	14.81746	13.888	
KOS8	54.19402	16.17792	20.586	
KOS6	54.12736	18.00010	184.314	
5501	54.28769	19.08789	1.216	
STR8	53.96876	18.50610	99.992	
4002	53.84583	14.34192	1.343	
CHO8	53.69354	17.54639	150.362	
GOL8	53.57088	14.83539	63.685	
DRW8	53.53755	15.81247	115.908	
4206	53.44089	16.94281	140.846	
CHN8	53.15469	15.40019	60.320	
4208	53.22972	16.28778	143.384	
3404	52.58755	18.76577	97.571	
221	51.89765	21.61784	132.226	
232	51.92998	22.37740	161.005	
352	51.76318	23.55415	154.420	
PIT_N	51.46984	19.65629	205.719	
213	51.61576	20.58226	158.154	
218	51.40240	21.12304	161.611	
224	51.35857	21.57140	164.442	
PPI8	53.15925	16.74445	60.538	
235	51.63742	22.89996	149.817	
217	51.13254	20.85780	313.636	
284	51.02590	21.21933	192.852	
LUB_N	51.27039	22.50587	216.062	
CYC_N	51.30192	23.13417	171.371	
255	50.97036	18.21932	182.345	
286	50.88389	21.85830	187.669	
WYS_N	50.91005	22.66639	239.842	
261	50.51209	18.30109	233.923	
265	50.39896	18.62712	226.970	
275	50.35737	20.02633	296.894	
288	50.49837	21.54082	153.055	
295	50.51825	22.14260	159.778	
267	50.08733	18.20551	191.366	
277	50.03709	19.22000	244.650	
311	49.91463	18.51070	242.016	
323	49.83406	19.93630	305.642	
324	49.96857	20.42416	241.233	
331	49.98854	20.92448	221.453	
314	49.53779	19.00670	674.698	
320	49.48030	19.69737	620.490	
326	49.55943	20.43671	369.716	
333	49.62966	20.94871	368.129	
328	49.44072	20.71585	393.112	
USG_N	49.10416	22.65030	659.888	
GWW9	52.74746	15.19022	117.195	
PL02	52.57833	15.55250	64.941	
WRK8	52.71562	16.36430	55.564	
GNI8	52.52846	17.58454	17.986	
NTM8	52.31845	16.11883	74.134	
BOR4	52.27506	17.07404	80.848	
ZAR8	51.64467	15.16164	146.717	
GLO8	51.65827	16.05095	120.373	
2304	51.62822	17.09995	108.851	
2402	51.70181	18.36019	144.889	
2108	51.18849	15.03345	215.773	
LEG8	51.19829	16.16397	122.657	
2309	51.20025	17.10823	138.426	
KEP8	51.28361	17.97637	166.638	
2110	51.00259	15.62400	481.507	
KLD8	50.42797	16.64839	290.306	
KLO8	50.91213	18.94035	234.973	
PL01	50.51222	19.20194	327.217	
LEL8	50.68504	19.63307	255.026	
KAT8	50.24772	19.04334	260.869	
ZYW8	49.68822	19.19145	346.050	
